id,taxid,superkingdom,organism,title,valid
MH479909,2250400,Viruses,Mycobacterium phage Commander,"Mycobacterium phage Commander, complete genome",True
MF467949,2024285,Viruses,Streptomyces phage Spectropatronm,"Streptomyces phage Spectropatronm, complete genome",True
MK450422,2510576,Viruses,Mycobacterium phage RoMag,"Mycobacterium phage RoMag, complete genome",True
MF189171,2024275,Viruses,Arthrobacter phage Correa,"Arthrobacter phage Correa, complete genome",True
NC_006565,2892344,Viruses,Lactobacillus phage LP65,"Lactobacillus phage LP65, complete genome",True
MH045561,2126933,Viruses,Microbacterium phage PaoPu,"Microbacterium phage PaoPu, complete genome",True
MF185730,2015847,Viruses,Mycobacterium phage Miley16,"Mycobacterium phage Miley16, complete genome",True
NC_012784,648017,Viruses,Staphylococcus phage phiPVL-CN125,"Staphylococcus phage phiPVL-CN125, complete genome",True
MH045563,2126935,Viruses,Microbacterium phage Robinson,"Microbacterium phage Robinson, complete genome",True
MH077581,2163594,Viruses,Mycobacterium phage Nemo27,"Mycobacterium phage Nemo27, complete genome",True
NC_024215,1476886,Viruses,Lactococcus phage P078,"Lactococcus phage P078, complete genome",True
NC_031933,1813782,Viruses,Salmonella phage 118970_sal2,"Salmonella phage 118970_sal2, complete genome",True
MH651169,2301702,Viruses,Mycobacterium phage Burwell21,"Mycobacterium phage Burwell21, complete genome",True
KX576647,1897764,Viruses,Mycobacterium phage CharlieGBrown,"Mycobacterium phage CharlieGBrown, complete genome",True
NC_028803,1035482,Viruses,Mycobacterium phage OSmaximus,"Mycobacterium phage OSmaximus, complete genome",True
NC_031060,1887649,Viruses,Gordonia phage JSwag,"Gordonia phage JSwag, complete genome",True
KX641264,1897546,Viruses,Mycobacterium phage LindNT,"Mycobacterium phage LindNT, complete genome",True
NC_031262,1815608,Viruses,Mycobacterium phage Brocalys,"Mycobacterium phage Brocalys, complete genome",True
NC_028966,1636546,Viruses,Tsukamurella phage TIN3,"Tsukamurella phage TIN3, complete genome",True
MH825706,2315717,Viruses,Streptomyces phage Microdon,"Streptomyces phage Microdon, complete genome",True
NC_011284,563124,Viruses,Mycobacterium phage Chah,"Mycobacterium phage Chah, complete genome",True
MK359306,2502424,Viruses,Mycobacterium phage Norm,"Mycobacterium phage Norm, complete genome",True
NC_028889,1675549,Viruses,Mycobacterium phage Florinda,"Mycobacterium phage Florinda, complete genome",True
MG812489,2079566,Viruses,Mycobacterium phage Greg,"Mycobacterium phage Greg, complete genome",True
NC_031263,1821723,Viruses,Mycobacterium phage EvilGenius,"Mycobacterium phage EvilGenius, complete genome",True
MK411746,2510495,Viruses,Arthrobacter phage Sonali,"Arthrobacter phage Sonali, complete genome",True
KX458237,1873950,Viruses,Mycobacterium phage Penny1,"Mycobacterium phage Penny1, complete genome",True
KX817174,1913042,Viruses,Mycobacterium phage LittleB,"Mycobacterium phage LittleB, complete genome",True
MK112536,2488966,Viruses,Mycobacterium phage Cannibal,"Mycobacterium phage Cannibal, complete genome",True
NC_001650,12657,Viruses,Equid gammaherpesvirus 2,"Equid herpesvirus 2 strain 86/67, complete genome",True
NC_004172,134554,Viruses,Pseudomonas phage phi13,"Pseudomonas phage phi13 segment L, complete genome",True
MK016504,2484216,Viruses,Mycobacterium phage Whouxphf,"Mycobacterium phage Whouxphf, complete genome",True
KU160674,1772324,Viruses,Arthrobacter phage Yank,"Arthrobacter phage Yank, complete genome",True
NC_023689,1070990,Viruses,Mycobacterium phage Lilac,"Mycobacterium phage Lilac, complete genome",True
MF324907,2015815,Viruses,Arthrobacter phage Beans,"Arthrobacter phage Beans, complete genome",True
NC_019549,941969,Viruses,Liberibacter phage SC1,"Liberibacter phage SC1, complete genome",True
NC_030932,1622193,Viruses,Gordonia phage Gsput1,"Gordonia phage Gsput1, complete genome",True
NC_016652,1109713,Viruses,Rhodococcus phage REQ2,"Rhodococcus phage REQ2, complete genome",True
NC_027987,745088,Viruses,Leuconostoc phage 1-A4,"Leuconostoc phage 1-A4, complete genome",True
NC_016650,2922221,Viruses,Rhodococcus phage RGL3,"Rhodococcus phage RGL3, complete genome",True
MH825713,2315715,Viruses,Mycobacterium phage Zalkecks,"Mycobacterium phage Zalkecks, complete genome",True
MH371119,2250363,Viruses,Mycobacterium phage OctaviousRex,"Mycobacterium phage OctaviousRex, complete genome",True
KU998252,1838076,Viruses,Gordonia phage PatrickStar,"Gordonia phage PatrickStar, complete genome",True
NC_018270,1161906,Viruses,Weissella phage phiYS61,"Weissella phage phiYS61, complete genome",True
MF472895,2024295,Viruses,Mycobacterium phage Kimona,"Mycobacterium phage Kimona, complete genome",True
NC_016568,1069378,Viruses,Helicobacter phage phiHP33,"Helicobacter phage phiHP33, complete genome",True
NC_031904,1814284,Viruses,Flavobacterium phage Fpv3,"Flavobacterium phage Fpv3, complete genome",True
NC_022987,1415146,Viruses,Xylella phage Prado,"Xylella phage Prado, complete genome",True
NC_022330,1354514,Viruses,Mycobacterium phage Quink,"Mycobacterium phage Quink, complete genome",True
NC_002656,2902907,Viruses,Mycobacterium phage Bxb1,"Mycobacterium phage Bxb1, complete genome",True
MH271301,2201435,Viruses,Microbacterium phage Krampus,"Microbacterium phage Krampus, complete genome",True
MF919511,2041535,Viruses,Mycobacterium phage Kailash,"Mycobacterium phage Kailash, complete genome",True
NC_022069,1340820,Viruses,Mycobacterium phage Jabbawokkie,"Mycobacterium phage Jabbawokkie, complete genome",True
MF347639,2023995,Viruses,Streptomyces phage Samisti12,"Streptomyces phage Samisti12, complete genome",True
MF324915,2015817,Viruses,Mycobacterium phage Amgine,"Mycobacterium phage Amgine, complete genome",True
NC_004333,2883946,Viruses,Burkholderia phage Bcep781,"Burkholderia phage Bcep781, complete genome",True
MH825704,2315709,Viruses,Mycobacterium phage LilTurb,"Mycobacterium phage LilTurb, complete genome",True
NC_007024,322855,Viruses,Xanthomonas phage Xp15,"Xanthomonas phage Xp15, complete genome",True
NC_028954,1662332,Viruses,Rhodobacter phage RcRhea,"Rhodobacter phage RcRhea, complete genome",True
MK305886,2500793,Viruses,Mycobacterium phage Poenanya,"Mycobacterium phage Poenanya, complete genome",True
KT381276,1701853,Viruses,Mycobacterium phage Serenity,"Mycobacterium phage Serenity, complete genome",True
NC_022970,981431,Viruses,Pseudomonas phage PAK_P3,"Pseudomonas phage PAK_P3, complete genome",True
NC_028978,1560286,Viruses,Mycobacterium phage Murucutumbu,"Mycobacterium phage Murucutumbu, complete genome",True
KT588442,1718166,Viruses,Mycobacterium phage LadyBird,"Mycobacterium phage LadyBird, complete genome",True
NC_028912,1527534,Viruses,Mycobacterium phage Swirley,"Mycobacterium phage Swirley, complete genome",True
NC_001396,2928691,Viruses,Xanthomonas phage Cf1c,"Xanthomonas phage Cf1c, complete genome",True
NC_016073,1080800,Viruses,Salmonella phage SFP10,"Salmonella phage SFP10, complete genome",True
NC_021299,1325953,Viruses,Mycobacterium phage PegLeg,"Mycobacterium phage PegLeg, complete genome",True
KM402757,1541823,Viruses,Mycobacterium phage Llama,"Mycobacterium phage Llama, complete genome",True
MH536827,2250332,Viruses,Mycobacterium phage Simpliphy,"Mycobacterium phage Simpliphy, complete genome",True
MF324913,2015818,Viruses,Mycobacterium phage Cain,"Mycobacterium phage Cain, complete genome",True
MK433263,2510505,Viruses,Gordonia phage FelixAlejandro,"Gordonia phage FelixAlejandro, complete genome",True
NC_031022,1863010,Viruses,Shigella phage SHSML-45,"Shigella phage SHSML-45, complete genome",True
KU998254,1838069,Viruses,Gordonia phage Kampe,"Gordonia phage Kampe, complete genome",True
NC_028968,1698252,Viruses,Mycobacterium phage BrownCNA,"Mycobacterium phage BrownCNA, complete genome",True
NC_011043,532077,Viruses,Klebsiella phage K11,"Klebsiella phage K11, complete genome",True
NC_028987,1735582,Viruses,Acinetobacter phage IME-200,"Acinetobacter phage IME200, complete genome",True
NC_018860,1126950,Viruses,Bacillus phage BCP78,"Bacillus phage BCP78, complete genome",True
NC_020845,889956,Viruses,Prochlorococcus phage MED4-213,"Cyanophage MED4-213, complete genome",True
NC_002643,145579,Viruses,Bdellovibrio phage phiMH2K,"Bdellovibrio phage phiMH2K, complete genome",True
MF140431,2015870,Viruses,Arthrobacter phage Taj14,"Arthrobacter phage Taj14, complete genome",True
NC_007145,2681592,Viruses,Burkholderia phage phiE52237,"Burkholderia prophage phi52237, complete genome",True
NC_007059,2936816,Viruses,Staphylococcus phage 71,"Staphylococcus phage 71, complete genome",True
NC_029066,1573458,Viruses,Pseudomonas phage PS-1,"Pseudomonas phage PS-1 DNA, complete sequence",True
NC_020871,1168744,Viruses,Listeria phage vB_LmoM_AG20,"Listeria phage vB_LmoM_AG20, complete genome",True
NC_026583,1567466,Viruses,Mycobacterium phage Alvin,"Mycobacterium phage Alvin, complete genome",True
MH834625,2419967,Viruses,Arthrobacter phage Richie,"Arthrobacter phage Richie, complete genome",True
NC_009604,2881397,Viruses,Burkholderia phage BcepNY3,"Burkholderia phage BcepNY3, complete genome",True
NC_028946,1698357,Viruses,Mycobacterium phage Dante,"Mycobacterium phage Dante, complete genome",True
MG757154,2079427,Viruses,Streptomyces phage Bing,"Streptomyces phage Bing, complete genome",True
NC_023498,1414747,Viruses,Mycobacterium phage Validus,"Mycobacterium phage Validus, complete genome",True
MH744421,2315609,Viruses,Arthrobacter phage Moki,"Arthrobacter phage Moki, complete genome",True
NC_007061,2936818,Viruses,Staphylococcus phage 29,"Staphylococcus phage 29, complete genome",True
MH271314,2201454,Viruses,Rhodococcus phage Swann,"Rhodococcus phage Swann, complete genome",True
MK279850,2499039,Viruses,Mycobacterium phage Durga,"Mycobacterium phage Durga, complete genome",True
MH513979,2250296,Viruses,Gordonia phage Pollux,"Gordonia phage Pollux, complete genome",True
KU963249,1821565,Viruses,Gordonia phage Yeezy,"Gordonia phage Yeezy, complete genome",True
NC_004689,205880,Viruses,Mycobacterium phage Barnyard,"Mycobacterium phage Barnyard, complete genome",True
NC_022054,1340829,Viruses,Mycobacterium phage Muddy,"Mycobacterium phage Muddy, complete genome",True
MK433259,2510515,Viruses,Streptomyces phage IceWarrior,"Streptomyces phage IceWarrior, complete genome",True
NC_024203,1476887,Viruses,Lactococcus phage P092,"Lactococcus phage P092, complete genome",True
NC_024391,1464127,Viruses,Staphylococcus phage DW2,"Staphylococcus phage DW2, complete genome",True
NC_023722,691963,Viruses,Rhodococcus phage ReqiPine5,"Rhodococcus phage ReqiPine5, complete genome",True
NC_030907,1647472,Viruses,Gordonia phage GMA5,"Gordonia phage GMA5, complete genome",True
KM881426,1566994,Viruses,Mycobacterium phage ZygoTaiga,Mycobacterium phage ZygoTaiga,True
NC_031012,1873998,Viruses,Bacillus phage Kida,"Bacillus phage Kida, complete genome",True
MH271295,2201426,Viruses,Gordonia phage Ebert,"Gordonia phage Ebert, complete genome",True
MH576955,2283242,Viruses,Arthrobacter phage Hunnie,"Arthrobacter phage Hunnie, complete genome",True
JN049605,2922220,Viruses,Mycobacterium phage EricB,"Mycobacterium phage EricB, complete genome",True
NC_029016,1747287,Viruses,Enterococcus phage vB_EfaS_IME198,"Enterococcus phage vB_EfaS_IME198, complete genome",True
MH155872,2182399,Viruses,Streptomyces phage Moozy,"Streptomyces phage Moozy, complete genome",True
NC_022096,1335230,Viruses,Pseudomonas phage PaBG,"Pseudomonas phage PaBG, complete genome",True
NC_007501,146269,Viruses,Lactobacillus phage Lc-Nu,"Lactobacillus phage Lc-Nu, complete genome",True
NC_029046,1524882,Viruses,Sinorhizobium phage phiLM21,"Sinorhizobium phage phiLM21, complete genome",True
NC_027391,1500801,Viruses,Propionibacterium phage PHL041M10,"Propionibacterium phage PHL041M10, complete genome",True
NC_027331,1540095,Viruses,Citrobacter phage Moon,"Citrobacter phage Moon, complete genome",True
KT355473,1698362,Viruses,Arthrobacter phage Jessica,"Arthrobacter phage Jessica, complete genome",True
JF704110,2920890,Viruses,Mycobacterium phage PackMan,"Mycobacterium phage PackMan, complete genome",True
NC_031015,1874001,Viruses,Bacillus phage Claudi,"Bacillus phage Claudi, complete genome",True
KX557278,1887647,Viruses,Gordonia phage Ghobes,"Gordonia phage Ghobes, complete genome",True
KT818595,1735466,Viruses,Mycobacterium phage Pepe,"Mycobacterium phage Pepe, complete genome",True
MH651167,2301691,Viruses,Gordonia phage Angelique,"Gordonia phage Angelique, complete genome",True
MH178381,2182342,Viruses,Streptomyces phage BayC,"Streptomyces phage BayC, complete genome",True
NC_016563,764595,Viruses,Bacillus phage W.Ph.,"Bacillus phage W.Ph., complete genome",True
MK061414,2488787,Viruses,Mycobacterium phage Marley1013,"Mycobacterium phage Marley1013, complete genome",True
JF704094,1034130,Viruses,Mycobacterium phage ChrisnMich,"Mycobacterium phage ChrisnMich, complete sequence",True
NC_022770,1406789,Viruses,Bacillus phage Pony,"Bacillus phage Pony, complete genome",True
KP027202,1567477,Viruses,Mycobacterium phage Taurus,"Mycobacterium phage Taurus, complete genome",True
MF324901,2015830,Viruses,Rhodococcus phage Naiad,"Rhodococcus phage Naiad, complete genome",True
NC_023721,2922995,Viruses,Mycobacterium phage Drago,"Mycobacterium phage Drago, complete genome",True
MH271320,2201444,Viruses,Microbacterium phage Zeta1847,"Microbacterium phage Zeta1847, complete genome",True
NC_018853,2927987,Viruses,Streptomyces phage TG1,"Streptomyces phage TG1, complete genome",True
MH669002,2301564,Viruses,Mycobacterium phage Emmina,"Mycobacterium phage Emmina, complete genome",True
NC_028886,1643324,Viruses,Bacillus phage phi4B1,"Bacillus phage phi4B1, complete genome",True
MK359352,2502450,Viruses,Mycobacterium phage JewelBug,"Mycobacterium phage JewelBug, complete genome",True
NC_028821,1732064,Viruses,Staphylococcus phage StB20-like,"Staphylococcus phage StB20-like, complete genome",True
NC_027363,1560282,Viruses,Proteus phage PM 75,"Proteus phage PM 75, complete genome",True
