DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,0.9185948926987172,.9185
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,0.9161956254608011,.9161
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,MaxStrategy,0.9087505849321479,.9087
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,0.9088771310993533,.9088
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,0.9193273214720935,.9193
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9163194857755029,.9163
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,MaxStrategy,0.9102007277849513,.9102
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,0.9083477830071836,.9083
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9134229771172445,.9134
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,0.915845155085357,.9158
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,0.9199017199017199,.9199
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,0.9167990226023213,.9167
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,0.9124984485540524,.9124
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9131923940002362,.9131
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,MaxStrategy,0.912797008804728,.9127
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,BottomTruncateStrategy,0.9150691579713662,.9150
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,MaxStrategy,0.9172841005708734,.9172
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,0.9160712123047111,.9160
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,0.9136955987214164,.9136
