DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TfidfStrategy,0.941783699435842,.9417
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,0.9312269865779784,.9312
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,0.9449651526075462,.9449
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,Tf4idfStrategy,0.9433237271853988,.9433
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,MaxStrategy,MaxStrategy,0.9122762473022724,.9122
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,0.9249159506910721,.9249
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,0.9361144219308701,.9361
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,Tf4idfStrategy,0.9351669941060904,.9351
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TfidfStrategy,0.9408765327182226,.9408
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TruncateStrategy,0.9476477683956575,.9476
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,0.9504162142598624,.9504
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,Tf4idfStrategy,TfidfStrategy,0.9420201774644463,.9420
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,Tf4idfStrategy,Tf4idfStrategy,0.9287480862089271,.9287
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,0.9427740058195926,.9427
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,Tf4idfStrategy,0.9275470756952238,.9275
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TfidfStrategy,TfidfStrategy,0.9276555699329491,.9276
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,0.9451923076923077,.9451
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TfidfStrategy,TfidfStrategy,0.9176794887858665,.9176
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,0.8862958641255025,.8862
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.9271212299025936,.9271
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TKPertStrategy,TruncateStrategy,0.930020907637437,.9300
