config,run,split,mcc,f1,accuracy,precision,recall
best_small2,0,test_predphi,0.5663651865288022,0.7737594617325484,0.7823624595469255,0.8056042031523643,0.7443365695792881
best_small2,0,test_all,0.3426433624756734,0.5873168059169976,0.6097150259067358,0.44407622203811103,0.8669632025879499
best_small2,1,test_predphi,0.565187559382102,0.7778695293146161,0.7823624595469255,0.7942664418212478,0.7621359223300971
best_small2,1,test_all,0.33889123647181235,0.5831494223029988,0.5840673575129534,0.42944550669216064,0.9082086534573393
best_small2,2,test_predphi,0.5520987760456695,0.7720164609053498,0.7758899676375405,0.7855946398659966,0.7588996763754046
best_small2,2,test_all,0.2890049643155971,0.5611011062516079,0.5580310880829016,0.411431805319751,0.8819247877072381
best_small2,3,test_predphi,0.5510976391526364,0.7683333333333333,0.7750809061488673,0.7920962199312714,0.7459546925566343
best_small2,3,test_all,0.3400367591438438,0.5862401764786984,0.6112694300518134,0.44476987447698746,0.8596845936109988
best_small2,4,test_predphi,0.5906156599428768,0.7951417004048583,0.7953074433656958,0.7957860615883307,0.7944983818770227
best_small2,4,test_all,0.3246148248068406,0.5754848523260235,0.5661917098445596,0.4191285081240768,0.9179134654266073
best_small2,5,test_predphi,0.5336558147157076,0.757753562447611,0.7661812297734628,0.7860869565217391,0.7313915857605178
best_small2,5,test_all,0.3464664418608983,0.5893719806763285,0.6146373056994818,0.44740150880134116,0.8633238980994743
best_small2,6,test_predphi,0.5439265007863036,0.7611814345991561,0.7710355987055016,0.7954144620811288,0.7297734627831716
best_small2,6,test_all,0.29967103635120873,0.5663251904386656,0.572279792746114,0.4193736627115347,0.8718156085725839
best_small2,7,test_predphi,0.5231879895484842,0.7491525423728813,0.7605177993527508,0.7864768683274022,0.7152103559870551
best_small2,7,test_all,0.3697534906950238,0.5990351112302332,0.6124352331606218,0.44798556825015035,0.9037606146380914
best_small2,8,test_predphi,0.5029645709702928,0.7356715141146278,0.75,0.7803992740471869,0.6957928802588996
best_small2,8,test_all,0.3077072552662738,0.5702501330494945,0.5816062176165803,0.4249454689668848,0.8665588354225637
best_small2,9,test_predphi,0.5667705918477254,0.7788778877887789,0.7831715210355987,0.7946127946127947,0.7637540453074434
best_small2,9,test_all,0.3017555801894107,0.5672622175512348,0.5733160621761658,0.42012064604008564,0.8730287100687424
best_small3,0,test_predphi,0.5847866022703875,0.7968379446640316,0.7920711974110033,0.7789799072642968,0.8155339805825242
best_small3,0,test_all,0.3496482260527796,0.5858662613981763,0.5764248704663213,0.4265166881799742,0.9353012535382127
best_small3,1,test_predphi,0.5084741881148165,0.7491749174917491,0.7540453074433657,0.7643097643097643,0.7346278317152104
best_small3,1,test_all,0.3296449013954735,0.580344045872783,0.5923575129533679,0.43294866693195383,0.8799029518803073
best_small3,2,test_predphi,0.5586152988951307,0.7872670807453416,0.7783171521035599,0.7567164179104477,0.8203883495145631
best_small3,2,test_all,0.3305517995987919,0.57442143727162,0.5474093264248705,0.411016210563012,0.9534977759805904
best_small3,3,test_predphi,0.5404559046162049,0.7705977382875606,0.7702265372168284,0.7693548387096775,0.7718446601941747
best_small3,3,test_all,0.32555699825898105,0.576,0.5674870466321243,0.4198445020362829,0.917104731095835
best_small3,4,test_predphi,0.5414776686081759,0.7770800627943485,0.7702265372168284,0.7545731707317073,0.8009708737864077
best_small3,4,test_all,0.33388915953401654,0.5795223577235772,0.5712435233160622,0.4224856454899055,0.9223615042458553
best_small3,5,test_predphi,0.5485616435017417,0.7751813053988719,0.7742718446601942,0.7720706260032103,0.7783171521035599
best_small3,5,test_all,0.3055877651957697,0.5652067531196476,0.5396373056994819,0.40519207156639186,0.9340881520420542
best_small3,6,test_predphi,0.514889461649897,0.7528830313014827,0.7572815533980582,0.7667785234899329,0.7394822006472492
best_small3,6,test_all,0.3405087540760981,0.5811301841874452,0.5669689119170984,0.4210239651416122,0.9377274565305297
best_small3,7,test_predphi,0.6056190634712187,0.8113496932515337,0.8009708737864077,0.7711370262390671,0.8559870550161812
best_small3,7,test_all,0.33875011291451884,0.577259475218659,0.5492227979274611,0.41257162701857963,0.9607763849575415
best_small3,8,test_predphi,0.5437605120534735,0.7699836867862969,0.7718446601941747,0.7763157894736842,0.7637540453074434
best_small3,8,test_all,0.29663211550810253,0.5621768037429205,0.539378238341969,0.40414232607541156,0.9231702385766276
best_small3,9,test_predphi,0.550265557690378,0.7728758169934641,0.7750809061488673,0.7805280528052805,0.7653721682847896
best_small3,9,test_all,0.30459394839669546,0.5671187729750286,0.5576424870466321,0.4130354505169867,0.9045693489688638
